pack_id,city_id,template_id,suite,status,observed_request_count,forecast_input_observations,simulation_iterations,optimization_search_space,optimization_evaluated_plans,optimization_feasible_plans,uncertainty_option_draw_values,pack_file_hash
tierd.us.ny.new-york-city.01,us.ny.new-york-city,deep.public-service.total-demand.v1,public-service-operations,completed,1796655,183,2500,3125,3125,252,3000,sha256:a34b9951d6f544f506c10b8800f2c09110b88cb0a79434ce828a6e5c44b4b516
tierd.us.ny.new-york-city.02,us.ny.new-york-city,deep.public-service.seasonal-staffing.v1,public-service-operations,completed,1796655,183,2500,3125,3125,252,3000,sha256:4ed710c6ce192a6fad6d60ea19e6e410f670c0f1f5c6de18c6a6a661257496a9
tierd.us.ny.new-york-city.03,us.ny.new-york-city,deep.public-service.sanitation-workload.v1,public-service-operations,completed,26620,183,2500,3125,3125,252,3000,sha256:ff47ee5342a9efa85887f2900c33c581c92cb22866eee95263065297ff24f398
tierd.us.ny.new-york-city.04,us.ny.new-york-city,deep.climate.heat-service-surge.v1,climate-disaster-resilience,completed,1796655,183,2500,3125,3125,252,3000,sha256:6592f05e3e8a61b42c6409aabc90d4dad192c7a77987c452587ccb9c57e156b5
tierd.us.ny.new-york-city.05,us.ny.new-york-city,deep.climate.rainfall-continuity.v1,climate-disaster-resilience,completed,1796655,183,2500,3125,3125,252,3000,sha256:c3c249c53aafa67ccd54257290d9feb3ef8c115c7bf6af73476fea9941300a7e
tierd.us.ny.new-york-city.06,us.ny.new-york-city,deep.housing.request-triage.v1,housing-land-use-regeneration,completed,246113,183,2500,3125,3125,252,3000,sha256:ff533d30539fdda9c1d628740dc27e99306b48cf192f18980329bc0f132f8d0c
tierd.us.ny.new-york-city.07,us.ny.new-york-city,deep.health.environmental-request-screen.v1,population-health-environmental-exposure,completed,686368,183,2500,3125,3125,252,3000,sha256:ae3a209cb213f53190cb9e01b4b4902a1ee77e8dd19caa02ea2ee2f8018b1f66
tierd.us.ny.new-york-city.08,us.ny.new-york-city,deep.infrastructure.maintenance-portfolio.v1,infrastructure-finance-asset-risk,completed,358019,183,2500,3125,3125,252,3000,sha256:73067f67860a60ea6a377601746c7464d5eeac5114bf00cba7c74efbf1c0607e
tierd.us.ny.new-york-city.09,us.ny.new-york-city,deep.equity.area-balance.v1,behavioral-policy-equity,completed,1796655,183,2500,3125,3125,252,3000,sha256:806220759342281e3cc79074f5b67b3a27c08466b818a66053f2293fab0eead8
tierd.us.ny.new-york-city.10,us.ny.new-york-city,deep.mobility.accessibility-request.v1,mobility-accessibility-operations,completed,151768,183,2500,3125,3125,252,3000,sha256:2dd339cc352ece68326fe2b959054d47f59881c49aab53416d92af6583b55ab5
tierd.us.ny.new-york-city.11,us.ny.new-york-city,deep.equity.causal-service-effectiveness.v1,behavioral-policy-equity,insufficient-evidence,1796655,0,0,0,0,0,0,sha256:3dbe52f7e33fe61942926f7d913dc5c551ad4e0ae819e4af8828eaba0d95b5d0
tierd.us.ny.new-york-city.12,us.ny.new-york-city,deep.mobility.real-time-reroute.v1,mobility-accessibility-operations,insufficient-evidence,1796655,0,0,0,0,0,0,sha256:fd7f87e7f19bb0a8d6546f3e4b5d7061816b276bf0365b0531a251b8cf4515c8
tierd.us.ma.boston.01,us.ma.boston,deep.public-service.total-demand.v1,public-service-operations,completed,148160,183,2500,3125,3125,252,3000,sha256:2b4ec9498dbd477c82169f61b1efcc887dec7e967d09649e236d057c2b208977
tierd.us.ma.boston.02,us.ma.boston,deep.public-service.seasonal-staffing.v1,public-service-operations,completed,148160,183,2500,3125,3125,252,3000,sha256:10759a74214e61c4be28682e59556b97a749d57e03cecbd8ff75504f49147035
tierd.us.ma.boston.03,us.ma.boston,deep.public-service.sanitation-workload.v1,public-service-operations,completed,37095,183,2500,3125,3125,252,3000,sha256:99894a71faee3ba4b86a2624178825cea4eaf2c88ec42bf76c8345bbd17bbeb9
tierd.us.ma.boston.04,us.ma.boston,deep.climate.heat-service-surge.v1,climate-disaster-resilience,completed,148160,183,2500,3125,3125,252,3000,sha256:d715f6cbcc0c63c4c59de5a9abcae2a493d472d3558390f423e340ff405a5f5a
tierd.us.ma.boston.05,us.ma.boston,deep.climate.rainfall-continuity.v1,climate-disaster-resilience,completed,148160,183,2500,3125,3125,252,3000,sha256:a676f6f95df877445563ebf710e9be3533914f570272c3d638af87fe8a650e73
tierd.us.ma.boston.06,us.ma.boston,deep.housing.request-triage.v1,housing-land-use-regeneration,completed,2333,183,2500,3125,3125,252,3000,sha256:687fdc64dc1ffbd587e0dc236ecc601ce4e744d75297873ce497c23ec23eab35
tierd.us.ma.boston.07,us.ma.boston,deep.health.environmental-request-screen.v1,population-health-environmental-exposure,completed,31764,183,2500,3125,3125,252,3000,sha256:c2e1339df802b7bcdbcad80921de93938c8befb3e3c6647fc9e6f47e3f791a60
tierd.us.ma.boston.08,us.ma.boston,deep.infrastructure.maintenance-portfolio.v1,infrastructure-finance-asset-risk,completed,26025,183,2500,3125,3125,252,3000,sha256:5a5046bd9c2f33217a8bf892bf9a2bcdf220b138bab46f6c91430e4cfb4b42d7
tierd.us.ma.boston.09,us.ma.boston,deep.equity.area-balance.v1,behavioral-policy-equity,completed,148160,183,2500,3125,3125,252,3000,sha256:72cb708b193676151dc97948b200ab160cbaafb2b3187d954f38cd87bd61360e
tierd.us.ma.boston.10,us.ma.boston,deep.mobility.accessibility-request.v1,mobility-accessibility-operations,completed,4442,183,2500,3125,3125,252,3000,sha256:9225d73f660d1c00b8915832f70942dc5533aea84e6a9cbe4a0ff510fc92588d
tierd.us.ma.boston.11,us.ma.boston,deep.equity.causal-service-effectiveness.v1,behavioral-policy-equity,insufficient-evidence,148160,0,0,0,0,0,0,sha256:8402c6274f95e71fb1e4a50b5bb883a0ba7fd0fa0cf8362c2f7972283ebcc2b4
tierd.us.ma.boston.12,us.ma.boston,deep.mobility.real-time-reroute.v1,mobility-accessibility-operations,insufficient-evidence,148160,0,0,0,0,0,0,sha256:3d93a5566dca17c7840b7d21bfa77aca36b415191bf0121d2513e0356e2e4014
tierd.us.il.chicago.01,us.il.chicago,deep.public-service.total-demand.v1,public-service-operations,completed,1061921,183,2500,3125,3125,252,3000,sha256:05a67e05b685480ad002894b594884e1d3e58509758e12d7c26bae2ca7566bf3
tierd.us.il.chicago.02,us.il.chicago,deep.public-service.seasonal-staffing.v1,public-service-operations,completed,1061921,183,2500,3125,3125,252,3000,sha256:c0f5aff67c5ca57cab29d8178a733251e31b4a93cdecc6b331815245ed3f7c5a
tierd.us.il.chicago.03,us.il.chicago,deep.public-service.sanitation-workload.v1,public-service-operations,completed,105668,183,2500,3125,3125,252,3000,sha256:a295dbdd4542d5900f9310f01d18ee65607e4d8235b3d2592425636535d3438e
tierd.us.il.chicago.04,us.il.chicago,deep.climate.heat-service-surge.v1,climate-disaster-resilience,completed,1061921,183,2500,3125,3125,252,3000,sha256:fa1a416799d373d962efe44fe2e8565f559f0a4485ce739fb468912f7efdfed8
tierd.us.il.chicago.05,us.il.chicago,deep.climate.rainfall-continuity.v1,climate-disaster-resilience,completed,1061921,183,2500,3125,3125,252,3000,sha256:b6eca648f316c8ca0afb3948ffa31d286cbe985fde75c929b3cec0462fdd7d1d
tierd.us.il.chicago.06,us.il.chicago,deep.housing.request-triage.v1,housing-land-use-regeneration,completed,24959,183,2500,3125,3125,252,3000,sha256:427f7ebbc3122b31197adfc36059e1642f4b06bd21e8fb24fbcaa589e1dba3d1
tierd.us.il.chicago.07,us.il.chicago,deep.health.environmental-request-screen.v1,population-health-environmental-exposure,completed,388845,183,2500,3125,3125,252,3000,sha256:34bd116bfd28bb4b04c62415d720b027e1c011b8c0899f1da1fa7b7e5bd82c90
tierd.us.il.chicago.08,us.il.chicago,deep.infrastructure.maintenance-portfolio.v1,infrastructure-finance-asset-risk,completed,128010,183,2500,3125,3125,252,3000,sha256:42727a8441a712530d88918ef536f28ccf7709a021cb65ec26e863d98a4033b0
tierd.us.il.chicago.09,us.il.chicago,deep.equity.area-balance.v1,behavioral-policy-equity,completed,1061921,183,2500,3125,3125,252,3000,sha256:79a3fa448bb8b81501ec9f39908b3edae9c2b5b1a9738d1031af653da7d8627d
tierd.us.il.chicago.10,us.il.chicago,deep.mobility.accessibility-request.v1,mobility-accessibility-operations,completed,5387,183,2500,3125,3125,252,3000,sha256:cbbadab7c4172c94811fc02c5b6109ee36df62c13ffa3cc8b294839d5f405d69
tierd.us.il.chicago.11,us.il.chicago,deep.equity.causal-service-effectiveness.v1,behavioral-policy-equity,insufficient-evidence,1061921,0,0,0,0,0,0,sha256:4d487b0d1847754850676d4ac6e6624f626da2938cda7ae64b5e769c37c4602e
tierd.us.il.chicago.12,us.il.chicago,deep.mobility.real-time-reroute.v1,mobility-accessibility-operations,insufficient-evidence,1061921,0,0,0,0,0,0,sha256:91b3e3dce0f388a2f8cd8378b234c497ebaea92b9798cfd669c7a03873938693
tierd.us.ca.san-francisco.01,us.ca.san-francisco,deep.public-service.total-demand.v1,public-service-operations,completed,461576,183,2500,3125,3125,252,3000,sha256:a52bdbc74b596c8ef10b8e33ddc5252613e6e8b3e623044952810f39de4102c6
tierd.us.ca.san-francisco.02,us.ca.san-francisco,deep.public-service.seasonal-staffing.v1,public-service-operations,completed,461576,183,2500,3125,3125,252,3000,sha256:9a55b46a734f1746447254c08592bc07070f9647e3e0a082f6ed13d989878e5e
tierd.us.ca.san-francisco.03,us.ca.san-francisco,deep.public-service.sanitation-workload.v1,public-service-operations,completed,189811,183,2500,3125,3125,252,3000,sha256:6376815d2c807ad9059aaf6821e97e6054eaa1739ad48730bc7c6fcb063552ca
tierd.us.ca.san-francisco.04,us.ca.san-francisco,deep.climate.heat-service-surge.v1,climate-disaster-resilience,completed,461576,183,2500,3125,3125,252,3000,sha256:8037d47f257d09d03af7008d9d27c024aa0c74ca4d9b4260cdb8dce8c43278d9
tierd.us.ca.san-francisco.05,us.ca.san-francisco,deep.climate.rainfall-continuity.v1,climate-disaster-resilience,completed,461576,183,2500,3125,3125,252,3000,sha256:3126294c25e5e38795a31e9ecc947c002672fdfdc382f8b218d46ce01bbdac04
tierd.us.ca.san-francisco.06,us.ca.san-francisco,deep.housing.request-triage.v1,housing-land-use-regeneration,completed,1986,183,2500,3125,3125,252,3000,sha256:2c45bbcbe887447ce102719b7e6ec3aa55f08588a939cb6dc8b9ebf6972bdead
tierd.us.ca.san-francisco.07,us.ca.san-francisco,deep.health.environmental-request-screen.v1,population-health-environmental-exposure,completed,215386,183,2500,3125,3125,252,3000,sha256:f1b92dd8a75d6a44f1a548f29d1cd7fd7befece4403543b8f418658c36791abd
tierd.us.ca.san-francisco.08,us.ca.san-francisco,deep.infrastructure.maintenance-portfolio.v1,infrastructure-finance-asset-risk,completed,212398,183,2500,3125,3125,252,3000,sha256:6014974bd74274acb56fbd8319ca25b337d19776d4578062c24516c6217e8176
tierd.us.ca.san-francisco.09,us.ca.san-francisco,deep.equity.area-balance.v1,behavioral-policy-equity,completed,461576,183,2500,3125,3125,252,3000,sha256:ced70b9292f5c05cd904aa9a37b09aa22f07ecad6d074762f85c60c420b83a9c
tierd.us.ca.san-francisco.10,us.ca.san-francisco,deep.mobility.accessibility-request.v1,mobility-accessibility-operations,completed,199973,183,2500,3125,3125,252,3000,sha256:8b719a801e8565185e404ae713f4bd8c8bcfcbe26d718a6c8c96380014c707cc
tierd.us.ca.san-francisco.11,us.ca.san-francisco,deep.equity.causal-service-effectiveness.v1,behavioral-policy-equity,insufficient-evidence,461576,0,0,0,0,0,0,sha256:871f1d160776bd5bd5bea45939e89db09fa7f6b37b12b684e7909f6ad4a2513d
tierd.us.ca.san-francisco.12,us.ca.san-francisco,deep.mobility.real-time-reroute.v1,mobility-accessibility-operations,insufficient-evidence,461576,0,0,0,0,0,0,sha256:8c23a5a966fde1d52d9b44c4496eb3368c720fb3cbb927744fe189b89c54d02e
tierd.us.wa.seattle.01,us.wa.seattle,deep.public-service.total-demand.v1,public-service-operations,completed,186351,183,2500,3125,3125,252,3000,sha256:35968b59d395ef74eea303451e94e3a0c105713cb6b83e2285ffcda644bb226b
tierd.us.wa.seattle.02,us.wa.seattle,deep.public-service.seasonal-staffing.v1,public-service-operations,completed,186351,183,2500,3125,3125,252,3000,sha256:66c5de59e27d3778f1d181bea06f05762e07515f034941f949b0da877ae87ea8
tierd.us.wa.seattle.03,us.wa.seattle,deep.public-service.sanitation-workload.v1,public-service-operations,completed,18449,183,2500,3125,3125,252,3000,sha256:8509605191882574527537b1b991395051ff53cb1e993ca0cf48052f88fb076b
tierd.us.wa.seattle.04,us.wa.seattle,deep.climate.heat-service-surge.v1,climate-disaster-resilience,completed,186351,183,2500,3125,3125,252,3000,sha256:4f03d3bce067a53246a0a6ed0c8fb68958b3c8c4ab718385ae5b09a2db32784b
tierd.us.wa.seattle.05,us.wa.seattle,deep.climate.rainfall-continuity.v1,climate-disaster-resilience,completed,186351,183,2500,3125,3125,252,3000,sha256:f36dbe0e4347583e11e3bd60d7ce17f41e6ba627a1cfc2468cd3f391aa9938cb
tierd.us.wa.seattle.06,us.wa.seattle,deep.housing.request-triage.v1,housing-land-use-regeneration,insufficient-evidence,0,0,0,0,0,0,0,sha256:c4b37d60547d6bfb07b459fa178303df014cd2e4a9678d3c031b38797fa83726
tierd.us.wa.seattle.07,us.wa.seattle,deep.health.environmental-request-screen.v1,population-health-environmental-exposure,completed,22847,183,2500,3125,3125,252,3000,sha256:e1fa1a381f067747455af133e086ecc3b0affd9063d612b410d068234ee83296
tierd.us.wa.seattle.08,us.wa.seattle,deep.infrastructure.maintenance-portfolio.v1,infrastructure-finance-asset-risk,completed,13893,183,2500,3125,3125,252,3000,sha256:494250a4c4cf7222dd9450465df5fe97a4614d4b959a3fd1c3100b6d4b81dfda
tierd.us.wa.seattle.09,us.wa.seattle,deep.equity.area-balance.v1,behavioral-policy-equity,completed,186351,183,2500,3125,3125,252,3000,sha256:6ece600236d19538e477c4de6b872a75f30751e1cc57764a0cf6f2ad96ccf7b5
tierd.us.wa.seattle.10,us.wa.seattle,deep.mobility.accessibility-request.v1,mobility-accessibility-operations,completed,518,183,2500,3125,3125,252,3000,sha256:ef7ad4fddbceb455f0741a8b6a3265fc3a3fc5d74217902580690172abb94b21
tierd.us.wa.seattle.11,us.wa.seattle,deep.equity.causal-service-effectiveness.v1,behavioral-policy-equity,insufficient-evidence,186351,0,0,0,0,0,0,sha256:ceeed24c10538cb5b7b95dd8887ca48b04e6980d46979a2de3ef9088dbe33fe9
tierd.us.wa.seattle.12,us.wa.seattle,deep.mobility.real-time-reroute.v1,mobility-accessibility-operations,insufficient-evidence,186351,0,0,0,0,0,0,sha256:52817dfbfb2d5a01c4fada7fe96dcce55d7fa9ea02b0e5c5d287151da98e784f
tierd.us.tx.austin.01,us.tx.austin,deep.public-service.total-demand.v1,public-service-operations,completed,164333,183,2500,3125,3125,252,3000,sha256:9c51485a87e9f110ed828249b15b99efe3a8266239ee6f8a8e49c36b501db185
tierd.us.tx.austin.02,us.tx.austin,deep.public-service.seasonal-staffing.v1,public-service-operations,completed,164333,183,2500,3125,3125,252,3000,sha256:908dc91ba11f74dacd37681a01eef1c8f4cc9cbe047992f103880d718e2424ee
tierd.us.tx.austin.03,us.tx.austin,deep.public-service.sanitation-workload.v1,public-service-operations,completed,19990,183,2500,3125,3125,252,3000,sha256:ac8ab08751494565b41e7c34d2dd249db73374f79ed7ecc851af44f48b01bd60
tierd.us.tx.austin.04,us.tx.austin,deep.climate.heat-service-surge.v1,climate-disaster-resilience,completed,164333,183,2500,3125,3125,252,3000,sha256:3734d24d548d8212affa1460434a1db1bd32daf6b0b8b9913b72038ed9375e81
tierd.us.tx.austin.05,us.tx.austin,deep.climate.rainfall-continuity.v1,climate-disaster-resilience,completed,164333,183,2500,3125,3125,252,3000,sha256:29a6e4ab09b34199da1db50cbebccc261ec3f61e53854a89527974e01cdeef5d
tierd.us.tx.austin.06,us.tx.austin,deep.housing.request-triage.v1,housing-land-use-regeneration,completed,339,183,2500,3125,3125,252,3000,sha256:72e800e52320b32d7b889c7d4049a8a69caa6564d2f10327602b9eef5d3bfbfc
tierd.us.tx.austin.07,us.tx.austin,deep.health.environmental-request-screen.v1,population-health-environmental-exposure,completed,29294,183,2500,3125,3125,252,3000,sha256:f66b822cc3542be083f84ac3ddcee443012d1a469d579be5894288be99802422
tierd.us.tx.austin.08,us.tx.austin,deep.infrastructure.maintenance-portfolio.v1,infrastructure-finance-asset-risk,completed,20971,183,2500,3125,3125,252,3000,sha256:c1d39f9096ae524b67547898ec4dea6075b04bcc30a1f97a141c949ac3f66499
tierd.us.tx.austin.09,us.tx.austin,deep.equity.area-balance.v1,behavioral-policy-equity,completed,164333,183,2500,3125,3125,252,3000,sha256:13c1e85750aa79b6b1abdbae18c69838df4dae03c5127c81e315dcc5cc81e40a
tierd.us.tx.austin.10,us.tx.austin,deep.mobility.accessibility-request.v1,mobility-accessibility-operations,completed,1165,183,2500,3125,3125,252,3000,sha256:944a42cc7ce893aa05e99a11ce6819379103a7eed8e2235d26d19377d586d70c
tierd.us.tx.austin.11,us.tx.austin,deep.equity.causal-service-effectiveness.v1,behavioral-policy-equity,insufficient-evidence,164333,0,0,0,0,0,0,sha256:af789771e874dfdb53dabc9373344c79eceddd2f9569e6f11840235451781cfb
tierd.us.tx.austin.12,us.tx.austin,deep.mobility.real-time-reroute.v1,mobility-accessibility-operations,insufficient-evidence,164333,0,0,0,0,0,0,sha256:d83dc38df6a9263adda63349ae0b6ff882f8f7a428a831c7b7d9a99812d67b21
tierd.us.ca.los-angeles.01,us.ca.los-angeles,deep.public-service.total-demand.v1,public-service-operations,completed,53194,183,2500,3125,3125,252,3000,sha256:e5d2b9e236e3df7b46d421a6175ea36d736a2d4c1d95fc2ec632189181541c56
tierd.us.ca.los-angeles.02,us.ca.los-angeles,deep.public-service.seasonal-staffing.v1,public-service-operations,completed,53194,183,2500,3125,3125,252,3000,sha256:a56304a8dfafb404bf542c43e6d968fccafe716c16a90f3120f452d1dbccda3d
tierd.us.ca.los-angeles.03,us.ca.los-angeles,deep.public-service.sanitation-workload.v1,public-service-operations,completed,148,183,2500,3125,3125,252,3000,sha256:7171372b69c426a7267fb20f0fb98e17cb09835f6aeacbb0d6ce40ffd6345302
tierd.us.ca.los-angeles.04,us.ca.los-angeles,deep.climate.heat-service-surge.v1,climate-disaster-resilience,completed,53194,183,2500,3125,3125,252,3000,sha256:61ce8d3557f34882a76d7d9b0263667fe4d056bf9037d2efa414be2ba9c87f63
tierd.us.ca.los-angeles.05,us.ca.los-angeles,deep.climate.rainfall-continuity.v1,climate-disaster-resilience,completed,53194,183,2500,3125,3125,252,3000,sha256:b7ee5eca8ffcc37debf8779277ffe5d6241b1acc6a1a8ec828a53756af395f95
tierd.us.ca.los-angeles.06,us.ca.los-angeles,deep.housing.request-triage.v1,housing-land-use-regeneration,insufficient-evidence,0,0,0,0,0,0,0,sha256:e1b6c9e4ae530951bb1b4e21e99e27a730abc5ef9cdf287bfd607c0ae0280c82
tierd.us.ca.los-angeles.07,us.ca.los-angeles,deep.health.environmental-request-screen.v1,population-health-environmental-exposure,completed,208,183,2500,3125,3125,252,3000,sha256:70b438c71bfbc6a99ae49b7af1f98a124ce0e5828b54a1fe2cdb8521875de535
tierd.us.ca.los-angeles.08,us.ca.los-angeles,deep.infrastructure.maintenance-portfolio.v1,infrastructure-finance-asset-risk,insufficient-evidence,60,0,0,0,0,0,0,sha256:fa5d99dc60f2fe9a8bcba5f3c4fb4a0b79e49f1984da8e4a256621bf8e3c29d8
tierd.us.ca.los-angeles.09,us.ca.los-angeles,deep.equity.area-balance.v1,behavioral-policy-equity,completed,53194,183,2500,3125,3125,252,3000,sha256:39b5fa79b89732626bdb52e7edb4796648809991c3cd2a0b494e5180f97f6068
tierd.us.ca.los-angeles.10,us.ca.los-angeles,deep.mobility.accessibility-request.v1,mobility-accessibility-operations,insufficient-evidence,0,0,0,0,0,0,0,sha256:0fd88064722249c4ab2a50e124390c633fda6f57f5434ff2418078bea4df5349
tierd.us.ca.los-angeles.11,us.ca.los-angeles,deep.equity.causal-service-effectiveness.v1,behavioral-policy-equity,insufficient-evidence,53194,0,0,0,0,0,0,sha256:8df5ed30ffe91295bd39af36fe9b3362e95a6f0c2c8d6793d255bd482813ccf2
tierd.us.ca.los-angeles.12,us.ca.los-angeles,deep.mobility.real-time-reroute.v1,mobility-accessibility-operations,insufficient-evidence,53194,0,0,0,0,0,0,sha256:ddcc9f1531727fe206e55574c45ec0959c261f67a470b7ffb596e58330d2a8ec
tierd.us.pa.philadelphia.01,us.pa.philadelphia,deep.public-service.total-demand.v1,public-service-operations,completed,276443,183,2500,3125,3125,252,3000,sha256:bf9134912538d66fd0d28447da0fd5de30c2fcd84bfc2b139784eadf16a72517
tierd.us.pa.philadelphia.02,us.pa.philadelphia,deep.public-service.seasonal-staffing.v1,public-service-operations,completed,276443,183,2500,3125,3125,252,3000,sha256:7e4cf544ece74442f7f9f97527fc6cf13164dc67d2866f967e42f4b3d938ec82
tierd.us.pa.philadelphia.03,us.pa.philadelphia,deep.public-service.sanitation-workload.v1,public-service-operations,completed,15180,183,2500,3125,3125,252,3000,sha256:269cc3d16891bcb8eea24b5e2fb4ff2c51fcc18447246719be3765ae2bf3cfbd
tierd.us.pa.philadelphia.04,us.pa.philadelphia,deep.climate.heat-service-surge.v1,climate-disaster-resilience,completed,276443,183,2500,3125,3125,252,3000,sha256:f7de587f763fafe83f8181ce0f1a197769016dfc4d6d730dbbbd7ebb895df385
tierd.us.pa.philadelphia.05,us.pa.philadelphia,deep.climate.rainfall-continuity.v1,climate-disaster-resilience,completed,276443,183,2500,3125,3125,252,3000,sha256:997636e6a9d78db7a7a69b8ba6675416124d4f1f00573e96668504a6b1755400
tierd.us.pa.philadelphia.06,us.pa.philadelphia,deep.housing.request-triage.v1,housing-land-use-regeneration,completed,1201,183,2500,3125,3125,252,3000,sha256:1bb7d537d3db2d13bf1cc37f33544fae7e662b64d4e774c7d1a22f787bbce02a
tierd.us.pa.philadelphia.07,us.pa.philadelphia,deep.health.environmental-request-screen.v1,population-health-environmental-exposure,completed,35666,183,2500,3125,3125,252,3000,sha256:8c2bc35247eb17e985bcb308b389d3b036a6a59e9e80d30157318551c21bad06
tierd.us.pa.philadelphia.08,us.pa.philadelphia,deep.infrastructure.maintenance-portfolio.v1,infrastructure-finance-asset-risk,completed,27037,183,2500,3125,3125,252,3000,sha256:9071b8cd5d09135373f3931a9e755f26fa02665c380369f4cbc1a990fa25473f
tierd.us.pa.philadelphia.09,us.pa.philadelphia,deep.equity.area-balance.v1,behavioral-policy-equity,completed,276443,183,2500,3125,3125,252,3000,sha256:f5b900bc3bbdf83eb31361f20c846ee70136f8b54484fcbd735521c8dbfe0256
tierd.us.pa.philadelphia.10,us.pa.philadelphia,deep.mobility.accessibility-request.v1,mobility-accessibility-operations,completed,2336,183,2500,3125,3125,252,3000,sha256:89996a0a8ae138f8a886fc081ae61b798f58d6a88fe25093941660aea2a6d54d
tierd.us.pa.philadelphia.11,us.pa.philadelphia,deep.equity.causal-service-effectiveness.v1,behavioral-policy-equity,insufficient-evidence,276443,0,0,0,0,0,0,sha256:e0ae7a3c3a0f1ce66b2f900396e44debbb7687806d8dab998244fdf8835898ee
tierd.us.pa.philadelphia.12,us.pa.philadelphia,deep.mobility.real-time-reroute.v1,mobility-accessibility-operations,insufficient-evidence,276443,0,0,0,0,0,0,sha256:19b6a36b55264b9c80769833aaa4004ebbd9b9c6f98cf75052368fb014d3a73f
