selection_rank,city_id,name,country_code,timezone,latitude,longitude,source_population,selection_basis,source_modification_date
1,geonames.1796236,Shanghai,CN,Asia/Shanghai,31.22222,121.45806,24874500,country-leader,2026-04-13
2,geonames.2314302,Kinshasa,CD,Africa/Kinshasa,-4.32758,15.31357,16000000,country-leader,2023-11-29
3,geonames.745044,Istanbul,TR,Europe/Istanbul,41.01384,28.94966,15701602,country-leader,2026-04-14
4,geonames.2332459,Lagos,NG,Africa/Lagos,6.45407,3.39467,15388000,country-leader,2023-10-25
5,geonames.1566083,Ho Chi Minh City,VN,Asia/Ho_Chi_Minh,10.82302,106.62965,14002598,country-leader,2025-10-19
6,geonames.1172451,Lahore,PK,Asia/Karachi,31.558,74.35071,13004135,country-leader,2026-04-14
7,geonames.1275339,Mumbai,IN,Asia/Kolkata,19.07283,72.88261,12691836,country-leader,2024-09-05
8,geonames.3448439,São Paulo,BR,America/Sao_Paulo,-23.5475,-46.63611,12400232,country-leader,2026-04-13
9,geonames.3530597,Mexico City,MX,America/Mexico_City,19.42847,-99.12766,12294193,country-leader,2024-03-26
10,geonames.524901,Moscow,RU,Europe/Moscow,55.75204,37.61781,10381222,country-leader,2025-09-09
11,geonames.1185241,Dhaka,BD,Asia/Dhaka,23.7104,90.40744,10356500,country-leader,2024-09-05
12,geonames.1835848,Seoul,KR,Asia/Seoul,37.566,126.9784,10349312,country-leader,2024-12-01
13,geonames.1850147,Tokyo,JP,Asia/Tokyo,35.6895,139.69171,9733276,country-leader,2025-07-22
14,geonames.360630,Cairo,EG,Africa/Cairo,30.06263,31.24967,9606916,country-leader,2026-02-23
15,geonames.993800,Johannesburg,ZA,Africa/Johannesburg,-26.20227,28.04363,9418183,country-leader,2026-04-14
16,geonames.2643743,London,GB,Europe/London,51.50853,-0.12574,8961989,country-leader,2026-03-23
17,geonames.5128581,New York City,US,America/New_York,40.71427,-74.00597,8804190,country-leader,2026-03-07
18,geonames.1642911,Jakarta,ID,Asia/Jakarta,-6.21462,106.84513,8540121,country-leader,2026-02-23
19,geonames.1668341,Taipei,TW,Asia/Taipei,25.05306,121.52639,7871900,country-leader,2025-02-24
20,geonames.3936456,Lima,PE,America/Lima,-12.04318,-77.02824,7737002,country-leader,2023-10-25
21,geonames.3688689,Bogotá,CO,America/Bogota,4.60971,-74.08175,7674366,country-leader,2024-03-26
22,geonames.1819729,Hong Kong,HK,Asia/Hong_Kong,22.27832,114.17469,7396076,country-leader,2025-08-25
23,geonames.98182,Baghdad,IQ,Asia/Baghdad,33.34058,44.40088,7216000,country-leader,2024-02-14
24,geonames.112931,Tehran,IR,Asia/Tehran,35.69439,51.42151,7153309,country-leader,2024-03-26
25,geonames.2293538,Abidjan,CI,Africa/Abidjan,5.35444,-4.00167,6321017,country-leader,2026-04-13
26,geonames.2147714,Sydney,AU,Australia/Sydney,-33.86785,151.20732,5638830,country-leader,2026-06-24
27,geonames.1880252,Singapore,SG,Asia/Singapore,1.28967,103.85007,5638700,country-leader,2025-07-23
28,geonames.160263,Dar es Salaam,TZ,Africa/Dar_es_Salaam,-6.82349,39.26951,5383728,country-leader,2026-04-14
29,geonames.1609350,Bangkok,TH,Asia/Bangkok,13.75398,100.50144,5104476,country-leader,2024-03-26
30,geonames.3871336,Santiago,CL,America/Santiago,-33.45694,-70.64827,4837295,country-leader,2025-06-21
31,geonames.105343,Jeddah,SA,Asia/Riyadh,21.49012,39.18624,4697000,country-leader,2024-04-21
32,geonames.1298824,Yangon,MM,Asia/Yangon,16.80528,96.15611,4477638,country-leader,2026-04-14
33,geonames.1138958,Kabul,AF,Asia/Kabul,34.52813,69.17233,4434550,country-leader,2024-11-12
34,geonames.184745,Nairobi,KE,Africa/Nairobi,-1.28333,36.81667,4397073,country-leader,2023-12-21
35,geonames.2460596,Bamako,ML,Africa/Bamako,12.60915,-7.97522,4227569,country-leader,2025-02-18
36,geonames.344979,Addis Ababa,ET,Africa/Addis_Ababa,9.02497,38.74689,3860000,country-leader,2026-02-23
37,geonames.292223,Dubai,AE,Asia/Dubai,25.07725,55.30927,3790000,country-leader,2026-04-13
38,geonames.2553604,Casablanca,MA,Africa/Casablanca,33.58831,-7.61138,3665954,country-leader,2026-04-14
39,geonames.2950159,Berlin,DE,Europe/Berlin,52.52437,13.41053,3426354,country-leader,2025-07-22
40,geonames.3117735,Madrid,ES,Europe/Madrid,40.4165,-3.70256,3255944,country-leader,2026-02-23
41,geonames.1871859,Pyongyang,KP,Asia/Pyongyang,39.03385,125.75432,3222000,country-leader,2024-06-19
