selection_order,tier_g_rank,city_id,name,country_code,climate-t2m-annual-mean,climate-t2m-max-annual-maximum,climate-t2m-min-annual-minimum,climate-precipitation-annual-sum,climate-days-t2m-max-ge-35c,climate-days-precipitation-ge-20mm,climate-wind-speed-annual-mean,climate-relative-humidity-annual-mean,country-sp-urb-totl-in-zs,country-sp-pop-totl,country-ny-gdp-pcap-cd,screened_runs,insufficient_evidence_runs,recommendations_issued
1,1,geonames.1796236,Shanghai,CN,17.921639,37.92,-5.46,1761.82,18,23,4.939016,80.900191,65.530145,1410710000,12951.17824,2,1,0
2,2,geonames.2314302,Kinshasa,CD,25.908852,35.34,17.66,1429.76,1,18,2.210574,75.188825,44.375473,105789731,660.212052,2,1,0
3,3,geonames.745044,Istanbul,TR,16.637842,34.28,0.06,538.83,0,4,4.913224,75.367077,89.021845,85325965,13375.094728,2,1,0
4,4,geonames.2332459,Lagos,NG,27.046093,32.88,18.39,1382.65,0,12,2.993306,84.487978,62.174676,227882945,2138.763837,2,1,0
5,5,geonames.1566083,Ho Chi Minh City,VN,28.28123,42.93,18.52,1596.24,102,14,2.89459,77.383852,38.12989,100352192,4322.825723,2,1,0
6,6,geonames.1172451,Lahore,PK,25.240956,48.52,2.84,872.22,130,9,2.315656,49.764235,38.819186,247504495,1360.324178,2,1,0
7,7,geonames.1275339,Mumbai,IN,27.204372,44.11,13.16,3132.25,111,50,3.551066,69.072377,35.067692,1438069596,2434.448263,2,1,0
8,8,geonames.3448439,São Paulo,BR,21.516257,37.5,2.98,1001.32,9,9,3.489399,71.145601,87.615971,211140729,10377.589279,2,1,0
9,9,geonames.3530597,Mexico City,MX,15.180519,32.72,0.73,951.38,0,5,2.005137,61.43306,79.473494,129739759,13830.843849,2,1,0
10,10,geonames.524901,Moscow,RU,5.334262,28.62,-37.02,780.1,0,5,4.386803,87.473525,74.980505,143826130,13986.995117,2,1,0
11,11,geonames.1185241,Dhaka,BD,25.52724,42.7,8.31,3053.76,37,43,3.02765,79.166093,32.157847,171466990,2551.017738,2,1,0
12,12,geonames.1835848,Seoul,KR,13.180929,33.56,-14.48,1483.67,0,17,3.808907,79.882732,81.164555,51712619,35674.095996,2,1,0
13,13,geonames.1850147,Tokyo,JP,17.034863,36.43,-0.75,2211.21,7,36,4.036066,80.198689,92.08269,124516650,35215.003535,2,1,0
14,14,geonames.360630,Cairo,EG,22.596503,45.49,3.32,95.09,130,2,3.861257,52.533689,42.709812,114535772,3456.789652,2,1,0
15,15,geonames.993800,Johannesburg,ZA,18.322486,37.62,-4.62,452.47,18,2,3.648825,48.246366,63.582371,63212384,6034.27209,2,1,0
16,16,geonames.2643743,London,GB,11.161257,29.93,-4.79,783.05,0,1,4.964344,86.046557,83.160193,68526000,49919.689662,2,1,0
17,17,geonames.5128581,New York City,US,13.154317,29.42,-7.02,1316.69,0,19,5.140929,80.40541,80.071561,336755052,82586.784771,2,1,0
18,18,geonames.1642911,Jakarta,ID,28.133907,32.39,23.1,2399.88,0,27,2.904262,81.262268,58.117935,281190067,4876.299296,2,1,0
19,20,geonames.3936456,Lima,PE,18.933962,27.39,11.76,35.43,0,0,3.167404,68.182404,84.781026,33845617,7919.046348,2,1,0
20,21,geonames.3688689,Bogotá,CO,19.670219,29.36,11.05,1816,0,9,1.877186,77.752377,78.275572,52321152,7012.491691,2,1,0
21,22,geonames.1819729,Hong Kong,HK,24.018825,33.64,5.54,2354.79,0,30,4.389044,80.440301,100,7536100,50525.111931,2,1,0
22,23,geonames.98182,Baghdad,IQ,24.962022,50.83,-0.32,238.47,171,2,3.418907,38.284344,69.868279,45074049,5965.318351,2,1,0
23,24,geonames.112931,Tehran,IR,17.439344,42.42,-6.68,329.15,90,0,3.02571,43.048142,76.675957,90608707,5049.299316,2,1,0
24,25,geonames.2293538,Abidjan,CI,26.993525,34.71,20.09,1530.74,0,12,3.193306,82.849727,53.40752,31165654,2591.965905,2,1,0
25,26,geonames.2147714,Sydney,AU,19.339098,34.54,8.84,812.88,0,9,4.054836,73.725956,87.486696,26659922,65058.377315,2,1,0
26,27,geonames.1880252,Singapore,SG,27.841721,34.05,22.92,5162.21,0,62,2.88418,86.020628,100,5917648,86382.59005,2,1,0
27,28,geonames.160263,Dar es Salaam,TZ,26.967459,32.21,21.06,1759.65,0,18,4.800027,79.141175,35.474802,66617606,1224.002197,2,1,0
28,29,geonames.1609350,Bangkok,TH,29.132404,44.43,16.01,1413.74,130,16,2.864617,72.800738,60.934193,71702435,7210.541308,2,1,0
29,30,geonames.3871336,Santiago,CL,16.016694,36.65,-1.6,120.47,2,0,2.763798,34.507787,88.815862,19658835,17081.518074,2,1,0
30,31,geonames.105343,Jeddah,SA,30.456557,46.25,14.9,123.98,217,0,4.110328,48.866749,84.296239,33702731,36156.85625,2,1,0
